Date,GDX,GLD,Spread,Z_Score,Position,Spread_Return,Strategy_Return,Cumulative_Return
2023-06-05,30.468563079833984,182.13999938964844,-15.840165410012936,0.443644814517215,0.0,-0.13231393155228766,-0.0,0.0
2023-06-06,30.53614044189453,182.33999633789065,-15.823436869770674,0.4544570447447979,0.0,0.016728540242262113,0.0,0.0
2023-06-07,29.976198196411133,180.1499938964844,-15.826575399480326,0.4524285051767646,0.0,-0.003138529709652005,-0.0,0.0
2023-06-08,30.449254989624023,182.52999877929688,-15.958630060599283,0.3670770412733893,0.0,-0.13205466111895703,-0.0,0.0
2023-06-09,30.00516128540039,182.0399932861328,-16.278140853779178,0.1605662396117452,0.0,-0.3195107931798944,-0.0,0.0
2023-06-12,30.15962791442871,181.8800048828125,-16.08299749500609,0.2866940960703733,0.0,0.19514335877308753,0.0,0.0
2023-06-13,29.821731567382812,180.5399932861328,-16.080198588885033,0.2885031252461416,0.0,0.0027989061210575983,0.0,0.0
2023-06-14,29.802425384521484,180.63999938964844,-16.124931122413713,0.2595909521473034,0.0,-0.04473253352868056,-0.0,0.0
2023-06-15,29.927928924560547,181.91000366210935,-16.322323614171168,0.1320094037772916,0.0,-0.197392491757455,-0.0,0.0
2023-06-16,30.304441452026367,181.6300048828125,-15.874621960256476,0.4213743624224031,0.0,0.44770165391469163,0.0,0.0
2023-06-20,29.09766960144043,179.75,-16.603406350814467,-0.0496640248407343,0.0,-0.7287843905579905,-0.0,0.0
2023-06-21,29.020435333251953,179.49000549316406,-16.614537538590824,-0.0568584938859397,0.0,-0.01113118777635691,-0.0,0.0
2023-06-22,28.817699432373047,177.7100067138672,-16.364712330109136,0.1046121205035815,0.0,0.24982520848168832,0.0,0.0
2023-06-23,28.759775161743164,178.1999969482422,-16.54721563226633,-0.0133460331452667,0.0,-0.18250330215719401,-0.0,0.0
2023-06-26,29.03009033203125,178.50999450683594,-16.355716717724043,0.1104262938108254,0.0,0.1914989145422865,0.0,0.0
2023-06-27,28.624614715576172,177.69000244140625,-16.55271100086925,-0.0168978786535865,0.0,-0.19699428314520873,-0.0,0.0
2023-06-28,28.20948600769043,177.27999877929688,-16.86359710234185,-0.2178342457841391,0.0,-0.31088610147259743,-0.0,0.0
2023-06-29,28.59565162658691,177.08999633789062,-16.429123744887253,0.0629808104323113,0.0,0.43447335745459625,0.0,0.0
2023-06-30,29.068708419799805,178.27000427246094,-16.25608159558012,0.1748238959788766,0.0,0.17304214930713258,0.0,0.0
2023-07-03,29.62864875793457,178.47000122070312,-15.746990079263632,0.5038672315962335,0.0,0.509091516316488,0.0,0.0
2023-07-05,28.79839134216309,177.83999633789062,-16.41707002076694,0.0707715464081466,0.0,-0.6700799415033067,-0.0,0.0
2023-07-06,28.064674377441406,177.30999755859375,-17.016035861887794,-0.3163606527478477,0.0,-0.5989658411208545,-0.0,0.0
2023-07-07,28.43153190612793,178.63999938964844,-16.987328623591637,-0.2978061784684973,0.0,0.028707238296156845,0.0,0.0
2023-07-10,29.001129150390625,178.77999877929688,-16.453325942553377,0.0473380986720521,0.0,0.5340026810382597,0.0,0.0
2023-07-11,29.19421005249023,179.4499969482422,-16.430590727279036,0.0620326493178289,0.0,0.022735215274341414,0.0,0.0
2023-07-12,30.71957015991211,181.8800048828125,-15.523055249522692,0.6486040048035414,0.0,0.907535477756344,0.0,0.0
2023-07-13,31.07677459716797,182.0099945068359,-15.198900412714671,0.8581164113970601,0.0,0.32415483680802026,0.0,0.0
2023-07-14,30.854726791381836,181.42999267578125,-15.273483919566305,0.8099105287807719,0.0,-0.07458350685163317,-0.0,0.0
2023-07-17,30.86438369750977,181.55999755859375,-15.296880493402645,0.7947885193769828,0.0,-0.023396573836340195,-0.0,0.0
2023-07-18,31.50156021118164,183.63999938964844,-15.188540261577003,0.8648125329755604,0.0,0.10834023182564145,0.0,0.0
2023-07-19,31.24089813232422,183.6699981689453,-15.456829469731346,0.6914080013110336,0.0,-0.2682892081543429,-0.0,0.0
2023-07-20,30.304441452026367,182.7400054931641,-16.15683738279182,0.238968840001632,0.0,-0.7000079130604746,-0.0,0.0
2023-07-21,30.400981903076172,182.17999267578125,-15.917914799327832,0.3933927133085954,0.0,0.23892258346398876,0.0,0.0
2023-07-24,30.20790100097656,181.3999938964844,-15.912682580674666,0.3967744759645004,0.0,0.005232218653166143,0.0,0.0
2023-07-25,30.680953979492188,182.41000366210935,-15.696422553543435,0.5365507605956565,0.0,0.21626002713123071,0.0,0.0
2023-07-26,30.555448532104492,183.3000030517578,-16.04820855561144,0.3091793826919833,0.0,-0.35178600206800326,-0.0,0.0
2023-07-27,29.30040740966797,180.4199981689453,-16.571014229412192,-0.0287278840245499,0.0,-0.5228056738007538,-0.0,0.0
2023-07-28,29.657609939575195,181.86000061035156,-16.579929423822847,-0.0344900804323474,0.0,-0.008915194410654692,-0.0,0.0
2023-07-31,30.323747634887695,182.3500061035156,-16.038374639554085,0.3155353804605278,0.0,0.5415547842687616,0.0,0.0
2023-08-01,29.18455696105957,180.4600067138672,-16.6970367700941,-0.1101805812703838,0.0,-0.6586621305400158,-0.0,0.0
2023-08-02,28.267412185668945,179.60000610351562,-17.395528120101346,-0.561639535780585,0.0,-0.6984913500072452,-0.0,0.0
2023-08-03,28.267412185668945,179.5399932861328,-17.380269981991084,-0.5517776769630638,0.0,0.01525813811026211,0.0,0.0
2023-08-04,28.53772735595703,180.19000244140625,-17.27521833200793,-0.4838791867806529,0.0,0.10505164998315308,0.0,0.0
2023-08-07,28.315683364868164,179.77999877929688,-17.393019716683654,-0.5600182684815272,0.0,-0.11780138467572243,-0.0,0.0
2023-08-08,28.07432746887207,178.63999938964844,-17.344533060847496,-0.5286796771714696,0.0,0.04848665583615741,0.0,0.0
2023-08-09,28.122596740722656,177.7899932861328,-17.080151446873693,-0.3578007578618819,0.0,0.26438161397380355,0.0,0.0
2023-08-10,28.161216735839844,177.60000610351562,-16.993227592714817,-0.3016188848577908,0.0,0.08692385415887571,0.0,0.0
2023-08-11,28.441184997558594,177.60000610351562,-16.713259330996067,-0.1206657796686224,0.0,0.27996826171875,0.0,0.0
2023-08-14,27.948823928833008,177.05999755859375,-17.068324313344235,-0.3501564751688947,0.0,-0.35506498234816775,-0.0,0.0
2023-08-15,27.234413146972656,176.58999633789062,-17.6632382301976,-0.7346697764766389,0.0,-0.5949139168533648,-0.0,0.0
2023-08-16,26.86755752563477,175.57000732421875,-17.77076369640734,-0.8041671790683356,0.0,-0.10752546620974002,-0.0,0.0
2023-08-17,26.65516662597656,175.3000030517578,-17.91450655287684,-0.897073125146777,0.0,-0.14374285646950113,-0.0,0.0
2023-08-18,26.50069999694824,175.3300018310547,-18.07660031120208,-1.0018398894959468,0.0,-0.16209375832523776,-0.0,0.0
2023-08-21,26.751705169677734,175.80999755859375,-17.947633086739742,-0.918483941965249,0.0,0.1289672244623361,0.0,0.0
2023-08-22,26.98340606689453,176.10000610351562,-17.789666278748406,-0.8163845673883948,0.0,0.1579668079913361,0.0,0.0
