Date,GDX,GLD,Spread,Z_Score
2023-09-07,27.30199432373047,178.02000427246094,-17.959233694497506,-0.9259818132702389
2023-09-08,27.35991859436035,178.0800018310547,-17.916563682461465,-0.8984027186650889
2023-09-11,27.775047302246097,178.41000366210938,-17.58533727635827,-0.6843197139092412
2023-09-12,27.79435920715332,177.49000549316406,-17.332117687473826,-0.5206551948595942
2023-09-13,27.726778030395508,177.0800018310547,-17.295456257818493,-0.4969596534575798
2023-09-14,28.103290557861328,177.1699981689453,-16.94182511824343,-0.2683956997978049
2023-09-15,28.69219398498535,178.33999633789062,-16.650391372248585,-0.0800320582516939
2023-09-18,28.72115707397461,179.38999938964844,-16.888389447200815,-0.23385838994822805
2023-09-19,28.38326072692871,179.22000122070312,-17.183064101725357,-0.4243167420107474
2023-09-20,28.682538986206055,179.35000610351562,-16.916839322412287,-0.2522465216248528
2023-09-21,27.910205841064453,178.0500030517578,-17.358649306460443,-0.5378034916409886
2023-09-22,27.871591567993164,178.6199951171875,-17.542182915689644,-0.6564275681442115
2023-09-25,27.52404022216797,177.6999969482422,-17.655826577537617,-0.7298793707528834
2023-09-26,26.780670166015625,176.27999877929688,-18.03816495540884,-0.9769977986920088
2023-09-27,25.979372024536133,174.10000610351562,-18.285204343891174,-1.1366678419157619
2023-09-28,26.11452865600586,173.22999572753906,-17.928849324261478,-0.9063433510042911
2023-09-29,25.979372024536133,171.4499969482422,-17.61144484637061,-0.7011939332713711
2023-10-02,25.091188430786133,169.64999389648438,-18.04198128472325,-0.9794644234287828
2023-10-03,25.168420791625977,169.16000366210938,-17.840169892356094,-0.8490267877939554
2023-10-04,25.01395606994629,169.13999938964844,-17.989548567999023,-0.9455753574092778
2023-10-05,25.409778594970703,168.8300018310547,-17.514909787228817,-0.6388000083168498
2023-10-06,25.960063934326172,169.6999969482422,-17.18581895651689,-0.42609729929896584
2023-10-09,26.58758544921875,172.82000732421875,-17.35155380415187,-0.5332174247499385
2023-10-10,26.848247528076172,172.52999877929688,-17.01715763606898,-0.3170856939370187
2023-10-11,27.34061050415039,173.7899932861328,-16.845145729014696,-0.20590848934997935
2023-10-12,26.780670166015625,173.25999450683594,-17.270334943548633,-0.4807228850622723
2023-10-13,27.948823928833008,178.8300018310547,-17.518344339444667,-0.6410198773997846
2023-10-16,27.997093200683594,177.9600067138672,-17.24888055895054,-0.46685617928242995
2023-10-17,28.508766174316406,178.2899932861328,-16.82110600758385,-0.19037079156206319
2023-10-18,28.43153190612793,180.8699951171875,-17.554300551922466,-0.6642596127139093
2023-10-19,28.489456176757812,183.08999633789065,-18.06080712636325,-0.9916322115975006
2023-10-20,28.460494995117188,183.58999633789065,-18.216892302307784,-1.092515422743535
2023-10-23,28.22879409790039,182.97000122070312,-18.29096068803299,-1.140388364880059
2023-10-24,28.248104095458984,182.9499969482422,-18.266564644437636,-1.1246203638366261
2023-10-25,27.784704208374023,183.72000122070312,-18.925736569015214,-1.5506658229667694
2023-10-26,27.533695220947266,184.0099945068359,-19.250475766151006,-1.7605559217144287
2023-10-27,28.19017791748047,186.1499938964844,-19.138083610057883,-1.6879130102676054
2023-10-30,27.775047302246097,185.1000061035156,-19.28625694086718,-1.783682524110211
2023-10-31,27.041332244873047,184.08999633789065,-19.763179046855832,-2.0919336647295
2023-11-01,27.13787269592285,183.5099945068359,-19.519174296871512,-1.934225012614765
2023-11-02,27.282686233520508,184.1199951171875,-19.529452187505285,-1.9408679664037352
2023-11-03,28.45083999633789,184.7899932861328,-18.531644111513167,-1.2959503295789347
2023-11-06,28.141908645629883,183.3500061035156,-18.474461617419713,-1.2589913192784514
2023-11-07,27.601272583007812,182.58999633789065,-18.821866725809343,-1.4835311751026625
2023-11-08,26.732398986816406,180.77000427246097,-19.22801100008307,-1.746036171681389
2023-11-09,26.635854721069336,181.4900054931641,-19.50761412798908,-1.9267532783440826
2023-11-10,26.307615280151367,179.50999450683594,-19.33243975821174,-1.8135320654602867
2023-11-13,26.104877471923828,180.5099945068359,-19.78942555504709,-2.1088976846095533
2023-11-14,27.350263595581055,182.1199951171875,-18.953378848229107,-1.5685319776071294
2023-11-15,27.21510887145996,181.63999938964844,-18.966495624083052,-1.5770098004370114
2023-11-16,27.620582580566406,183.69000244140625,-19.08223106752591,-1.6518135933486136
2023-11-17,27.446807861328125,183.6699981689453,-19.25091974072744,-1.7608428777348635
2023-11-20,27.52404022216797,183.3699951171875,-19.097412207401966,-1.6616256855622769
2023-11-21,28.199831008911133,185.3500061035156,-18.925035231354094,-1.550212524343609
2023-11-22,28.238449096679688,184.55999755859375,-18.68555906005617,-1.3954308482023872
2023-11-24,28.30602645874023,185.52000427246097,-18.862061474046367,-1.5095104216827375
2023-11-27,28.759775161743164,186.77000427246097,-18.726122756803207,-1.4216485588788266
2023-11-28,30.140317916870117,189.2599945068359,-17.97865501041919,-0.9385344769233025
2023-11-29,30.121013641357425,189.5399932861328,-18.06914841238076,-0.9970234712955565
2023-11-30,30.236860275268555,188.75,-17.75244757445668,-0.7923288402450421
2023-12-01,30.709917068481445,192.0099945068359,-18.10823782747935,-1.0222883030971843
2023-12-04,29.947237014770508,187.86000061035156,-17.815790280274435,-0.8332694070022875
2023-12-05,29.42591094970703,187.1499938964844,-18.156598566439136,-1.0535455100044704
2023-12-06,29.367984771728516,187.83999633789065,-18.389956477279675,-1.204372744233873
2023-12-07,29.271446228027344,188.1499938964844,-18.56531127672664,-1.3177105750113782
2023-12-08,28.65357780456543,185.63999938964844,-18.545018645408845,-1.3045947502858506
2023-12-11,28.528072357177734,183.58999633789065,-18.149314940247237,-1.04883785218508
2023-12-12,27.861936569213867,183.4900054931641,-18.79002825706018,-1.4629528790155968
2023-12-13,29.638303756713867,187.6300048828125,-18.066247587215877,-0.9951485683405791
2023-12-14,30.22720718383789,188.72999572753903,-17.757014619850587,-0.7952806785730496
2023-12-15,29.879657745361328,187.0,-17.664716124300234,-0.7356249902046907
2023-12-18,30.15441131591797,187.8500061035156,-17.606074895866797,-0.6977231497889449
2023-12-19,30.95905303955078,189.1300048828125,-17.126870287290686,-0.38799674933746126
2023-12-20,30.20347595214844,188.1000061035156,-17.620572256788282,-0.7070932921746779
2023-12-21,30.762798309326172,189.42999267578125,-17.399396310484498,-0.5641396801076493
2023-12-22,30.9688663482666,190.27000427246097,-17.406899530407124,-0.5689892688988255
2023-12-26,31.076807022094727,191.72000122070312,-17.667617664157042,-0.737500355089611
2023-12-27,31.380998611450195,192.58999633789065,-17.584620583445123,-0.683856490659202
2023-12-28,30.586170196533203,191.47000122070312,-18.094692492566608,-1.01353348782548
2023-12-29,30.429168701171875,191.1699981689453,-18.175418815442306,-1.0657096834598818
